"source_path","item_type","discovered_under","match_basis","file_count_recursive","byte_count_recursive","latest_write_time_utc","sha256_if_file","inventory_state","source_lineage","canonical_destination","disposition"
"C:\Users\User\Documents\Codex\2026-08-09\analiza-y-estudia-por-completo-este\work\BMA_mercabarna_flor_v0.5.0_commit_0e29f7b_real","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-09T09:33:15.0270421Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-09\analiza-y-estudia-por-completo-este\work\BMA_mercabarna_flor_v0.5.0_commit_0e29f7b_repeat","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-09T09:33:39.8914576Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-09\analiza-y-estudia-por-completo-este\work\BMA_mercabarna_flor_v0.5.0_real","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-09T09:16:21.9688196Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-09\analiza-y-estudia-por-completo-este\work\BMA_mercabarna_flor_v0.5.0_repeat","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-09T09:17:33.4132807Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-09\analiza-y-estudia-por-completo-este\work\BMA_mercabarna_flor_v0.5.1_failed_unknown_cell_gate","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-09T10:32:39.3504921Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-09\analiza-y-estudia-por-completo-este\work\BMA_mercabarna_flor_v0.5.1_pre_oos_disclosure","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-09T10:33:49.3873608Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-09\analiza-y-estudia-por-completo-este\work\BMA_mercabarna_flor_v0.5.1_real","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-09T10:36:13.3456139Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-09\analiza-y-estudia-por-completo-este\work\BMA_mercabarna_flor_v0.5.1_real_pre_lineage_fix","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-09T10:35:17.3286050Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-09\analiza-y-estudia-por-completo-este\work\BMA_mercabarna_flor_v0.5.1_repeat","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-09T10:36:14.0379338Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-09\analiza-y-estudia-por-completo-este\work\BMA_mercabarna_flor_v0.5.1_repeat_pre_lineage_fix","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-09T10:35:17.9804918Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-09\bind-2026-tres-productos-candidatura\outputs\BAYME_MERCABARNA_FLOR_GALICIA_PORT_v0.4","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-09T08:14:53.0115523Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-09\bind-2026-tres-productos-candidatura\outputs\BAYME_MERCABARNA_FLOR_PREQUENTIAL_v0.1","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-09T07:50:28.2857841Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
