"event_date","discovery_page","payload_url","role_guess","payload_opened"
"2026-02-23","https://rmk.ee/kuulutused/metsa-ja-puidu-muuk/23-02-2026/","https://rmk.ee/wp-content/uploads/2024/09/Virnmaterjalide_standard_2023-11-10.pdf","UNRESOLVED","False"
"2026-02-23","https://rmk.ee/kuulutused/metsa-ja-puidu-muuk/23-02-2026/","https://rmk.ee/wp-content/uploads/2026/02/Muugiobjektid_EP_23.02.2026.xlsx","OFFER_OR_FORM","False"
